z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,O2,H2O,H,O,OH,HO2,H2O2,N2 
0.010863281249999999,12.492573944563214,0.0,1826.7118566863683,0.15618566410596388,0.0034430046277420016,0.03135468964373046,0.2029004927022313,0.0012146316328218248,0.0050259926850499,0.011052893541722699,1.2684814510756076e-05,9.461285397424965e-06,0.7449861490620655
0.010866210937499999,12.509933391369758,0.0,1829.5069748886174,0.15596893259782604,0.0034379808375691015,0.031225936068161157,0.20303907055489795,0.0012074159872690743,0.0050048335254946645,0.011073142630683831,1.2592292845093953e-05,9.373992970195156e-06,0.7449896541053769
0.010869140624999999,12.527086901759123,0.0,1832.2707740888861,0.15575536221795228,0.003433041717522825,0.031099750456841727,0.20317563111707157,0.001200274841987627,0.004983761574678719,0.011092743643311165,1.2501470653526585e-05,9.28748320719885e-06,0.7449930076899898
0.0108720703125,12.544038457087614,0.0,1835.0038296519301,0.15554488011110007,0.003428181590944389,0.030976023809725414,0.20331025856376564,0.0011932077426324529,0.004962780490782406,0.01111171597379496,1.241228871215134e-05,9.201772922737337e-06,0.7449962177619801
0.010875,12.56079192991738,0.0,1837.7067019608767,0.1553374157298894,0.0034233951701452717,0.030854652989305703,0.20344303221270799,0.0011862141907931975,0.004941893659656594,0.011130078369456998,1.2324690879207252e-05,9.116876872438374e-06,0.7449992918354391
0.0108779296875,12.57735108755595,0.0,1840.3799368891512,0.15513290074586897,0.003418677531139652,0.0307355403944202,0.2035740268188059,0.001179293648464828,0.004921104208400701,0.011147848947710929,1.2238623909848209e-05,9.032807888170739e-06,0.7450022370145124
0.010880859375,12.593719595454388,0.0,1843.0240662532187,0.15493126896469986,0.003414024089933917,0.030618593651434947,0.2037033128510451,0.0011724455421934384,0.004900415018432751,0.011165045213445659,1.2154037280764302e-05,8.949577004477198e-06,0.7450050600144777
0.0108837890625,12.60990102047121,0.0,1845.63960824699,0.15473245624524798,0.003409430580285015,0.030503725322044116,0.2038309567528235,0.0011656692669181888,0.004879828738060938,0.011181684076667009,1.2070883024911747e-05,8.867193577689695e-06,0.7450077671818436
0.01088671875,12.625898834006415,0.0,1848.2270678586738,0.15453640042239228,0.00340489303284312,0.030390852626925802,0.20395702118662692,0.0011589641895288544,0.004859347794565447,0.011197781870259277,1.1989115576252072e-05,8.785665398487255e-06,0.745010364513517
0.0108896484375,12.641716415009613,0.0,1850.7869372708064,0.15434304123336443,0.0034004077555987024,0.030279897184520736,0.20408156526394688,0.0011523296521574699,0.004838974405801366,0.011213354367753562,1.1908691624195845e-05,8.704998798418855e-06,0.7450128576750361
0.010892578125,12.657357052868315,0.0,1853.3196962441405,0.1541523202474486,0.003395971315558067,0.0301707847642144,0.20420464476125968,0.0011457649752214384,0.00481871059133316,0.01122841680100779,1.1829569977330416e-05,8.625198750766609e-06,0.745015252017911
